"","stfips","region","year","ymcaid","white","income_pc","hospitals_pc","beds_pc","mort_rate","child_pop","afdc_rate"
"234",11,3,1961,1968,0,2.906,0.020954786,8.1252184,410.64572,143711,3.7599699
"235",11,3,1976,1968,0,8.728,0.024414588,9.8261538,307.23618,124777,3.7599699
"236",11,3,1971,1968,0,5.497,0.023979506,9.9754744,333.75763,161241,3.7599699
"237",11,3,1966,1968,0,3.951,0.02232399,9.2263737,388.28934,161221,3.7599699
"238",11,3,1963,1968,0,3.254,0.02097716,8.347599,413.82825,150715,3.7599699
"239",11,3,1964,1968,0,3.462,0.020988366,8.4609346,432.33643,154217,3.7599699
"240",11,3,1970,1968,0,4.97,0.023826353,10.034866,362.82925,166484,3.7599699
"241",11,3,1968,1968,0,4.53,0.02366247,9.7699709,297.51721,168225,3.7599699
"242",11,3,1962,1968,1,3.099,0.020965964,8.201623,291.74286,46293.891,0.11082212
"243",11,3,1961,1968,1,2.906,0.020954786,8.1252184,307.25839,49878.445,0.11082212
"244",11,3,1973,1968,1,6.47,0.024533957,9.8326645,241.34433,18739,0.11082212
"245",11,3,1971,1968,1,5.497,0.023979506,9.9754744,211.76611,20330,0.11082212
"246",11,3,1970,1968,1,4.97,0.023826353,10.034866,269.01617,20766,0.11082212
"247",11,3,1974,1968,1,7.252,0.023586281,9.7439089,215.94513,17820,0.11082212
"248",11,3,1975,1968,1,8.034,0.023933414,9.6310873,223.63686,16939,0.11082212
"249",11,3,1966,1968,1,3.951,0.02232399,9.2263737,248.90053,31955.666,0.11082212
"250",11,3,1963,1968,1,3.254,0.02097716,8.347599,319.58728,42709.332,0.11082212
"251",11,3,1967,1968,1,4.234,0.023649812,9.2799234,245.14325,28371.111,0.11082212
"252",11,3,1968,1968,1,4.53,0.02366247,9.7699709,172.9724,24786.555,0.11082212
"253",11,3,1976,1968,1,8.728,0.024414588,9.8261538,125.55885,16484,0.11082212
"254",11,3,1965,1968,1,3.756,0.022312058,8.8683863,266.33398,35540.223,0.11082212
"255",11,3,1972,1968,1,6.026,0.024200769,10.05542,177.02086,19617,0.11082212
"256",11,3,1964,1968,1,3.462,0.020988366,8.4609346,266.46619,39124.777,0.11082212
"257",11,3,1969,1968,1,4.483,0.023675146,9.9422455,262.18729,21202,0.11082212
"258",12,4,1974,1970,0,5.591,0.025249267,4.9434457,309.34692,418365,17.579067
"259",12,4,1965,1970,0,2.493,0.025472028,3.7735741,486.59106,367589.31,17.579067
