"stfips","region","year","year_mcaid","income_pc","hospitals_pc","beds_pc","child_pop","afdc_rate","public_insurance_child"
25,1,1965,1966,3.081,0.031109711,6.2361164,1981479.8828125,1.8901258,0.0198937205353789
25,1,1966,1966,3.305,0.031334545,6.2233686,2009221.64453125,1.8901258,0.0479768717986722
25,1,1967,1966,3.557,0.031374466,6.3311505,2036963.41015625,1.8901258,0.138003386367881
25,1,1968,1966,3.872,0.03123509,6.3157353,2064705.234375,1.8901258,0.202450196312855
25,1,1969,1966,4.185,0.031628598,6.3787284,2092447,1.8901258,0.207785499964201
25,1,1970,1966,4.472,0.031233363,6.3345823,2083667,1.8901258,0.186414599562827
25,1,1971,1966,4.743,0.031017834,6.3774757,2074887,1.8901258,0.155010785958119
25,1,1972,1966,5.102,0.031411886,6.3896289,2051449,1.8901258,0.123012330964979
25,1,1973,1966,5.541,0.031294111,6.4282598,2024439,1.8901258,0.116572593444173
25,1,1974,1966,6.011,0.030292397,6.4100447,1983717,1.8901258,0.117125907725163
25,1,1975,1966,6.453,0.030370513,6.4355984,1940045,1.8901258,0.149525707163608
25,1,1976,1966,6.993,0.029744899,6.4196796,1893300,1.8901258,0.184745283821474
26,2,1963,1966,2.735,0.026967151,4.6703429,3302744.921875,1.7054889,0
26,2,1964,1966,2.959,0.026603142,4.5644946,3351685.3125,1.7054889,0
26,2,1965,1966,3.225,0.026368139,4.6366763,3400625.6875,1.7054889,0
26,2,1966,1966,3.458,0.026021572,4.5959277,3449566.078125,1.7054889,0.003449709145093
26,2,1967,1966,3.566,0.025683997,4.6032462,3498506.34375,1.7054889,0.0312916976338433
26,2,1968,1966,3.919,0.025469795,4.6574159,3547446.734375,1.7054889,0.040028786058823
26,2,1969,1966,4.147,0.025261013,4.6314878,3596387,1.7054889,0.0486988261166316
26,2,1970,1966,4.198,0.024494812,4.4936743,3586382,1.7054889,0.0535525820100848
26,2,1971,1966,4.501,0.024855224,4.5644445,3576406,1.7054889,0.0798037570054302
26,2,1972,1966,4.97,0.024820689,4.6328263,3543894,1.7054889,0.0888059585995702
26,2,1973,1966,5.552,0.024802046,4.6993814,3504993,1.7054889,0.114469601844578
