client_zip,las_race_key,hispanic_flag,age,year,male,dismissal,loc2,st_id
11201,White,N,54,2016,0,0,jay st - metrotech,99
11213,Black,N,37,2016,1,1,church ave and nostrand ave,58
11203,Black,N,58,2016,1,0,utica ave and eastern parkway,70
11208,Black,N,26,2016,1,1,sutter avenue station l line,147
11205,White,Y,33,2016,1,0,bedford - nostrand avs g line,45
11385,White,N,20,2016,1,0,metropolitan and lorimer g l station,113
11434,White,N,57,2016,1,0,20th ave and 86th st,5
11207,White,N,30,2016,1,0,van siclen av a c station,152
10301,Black,N,61,2016,1,0,utica ave and eastern parkway,70
11212,Black,N,34,2016,1,0,canarsie rockaway pkwy,54
11208,,N,24,2016,1,,graham ave l line,88
11208,White,Y,59,2016,1,0,euclid av a subway a subway,77
11230,White,N,30,2016,1,1,avenue h q subway,28
11208,Black,N,22,2016,1,0,grant ave a line,91
11212,Black,N,31,2016,1,0,eastern pkwy-brooklyn museum 2 subway 3 subway,76
11213,White,N,23,2016,1,0,eastern pkwy-brooklyn museum 2 subway 3 subway,76
11213,Black,N,34,2016,0,0,hoyt-schermerhorn a c g line,98
11207,Black,N,19,2016,0,1,atlantic ave l line,26
11218,White,N,22,2016,1,1,jay st - metrotech,99
11233,Black,N,29,2016,1,1,jefferson st l line station,100
11206,Black,N,22,2016,1,0,broadway and lorimer st j m station,112
11238,Black,N,18,2016,1,0,marcy ave j m z line,114
11221,White,N,45,2016,0,,halsey street j subway,93
11213,Black,N,25,2016,1,0,nostrand ave and fulton st a c station,131
10027,Black,N,33,2016,1,0,rockaway ave c line,141
11212,Black,N,19,2016,1,,rockaway ave 3 line,140
11208,Black,Y,36,2016,1,0,van siclen av a c station,152
11236,Black,N,22,2016,1,0,utica ave and fulton st,150
11691,Black,N,36,2016,0,0,utica ave and fulton st,150
11221,Black,N,19,2016,1,,livonia ave l line,111
11209,White,Y,26,2016,1,,kingston - throop avs,106
11207,Black,N,35,2016,1,0,utica ave and eastern parkway,70
11211,Black,N,27,2016,1,0,broadway and lorimer st j m station,112
11238,,N,59,2016,0,,bedford - nostrand avs g line,45
11207,Black,N,62,2016,1,0,canarsie rockaway pkwy,54
11203,Black,N,24,2016,1,,jefferson st l line station,100
11207,Black,N,21,2016,0,0,euclid av a subway a subway,77
11207,Black,N,32,2016,1,0,dekalb l station,73
11217,Other,N,24,2016,1,,nassau ave g line,120
10002,Black,N,41,2016,1,,utica ave and eastern parkway,70
11212,Black,N,52,2016,1,0,sutter avenue station l line,147
11210,Black,N,27,2016,1,,flatbush av-brooklyn college station,78
10002,Black,N,20,2016,1,0,smith-9 sts f subway g subway,145
10469,Black,N,30,2016,1,0,rockaway ave 3 line,140
11218,White,N,24,2016,1,,smith-9 sts f subway g subway,145
10468,Black,N,38,2016,1,,atlantic ave l line,26
,,,,2016,,,15 st prospect park f g line,1
,,,,2016,,,4 av f subway g subway/9 st r subway,10
,,,,2016,,,jefferson st l line station,100
,,,,2016,,,junius st 3 line,101
,,,,2016,,,kings highway b q line,102
,,,,2016,,,"mcdonald ave and billings pl, brooklyn",103
,,,,2016,,,eastern parkway and kingston ave station,105
,,,,2016,,,kingston - throop avs,106
,,,,2016,,,knickerbocker av and myrtle av station,107
,,,,2016,,,kosciuszko st j subway,108
,,,,2016,,,lafayette av c subway,109
,,,,2016,,,45 st r subway,11
,,,,2016,,,liberty av c line station,110
,,,,2016,,,livonia ave l line,111
,,,,2016,,,broadway and lorimer st j m station,112
,,,,2016,,,metropolitan and lorimer g l station,113
,,,,2016,,,marcy ave j m z line,114
,,,,2016,,,montrose av l subway,115
,,,,2016,,,morgan ave l station,116
,,,,2016,,,myrtle av and broadway station,117
